iter	Passed	Remaining
0	14	14795
1	28	14082
2	40	13378
3	52	13182
4	63	12719
5	75	12568
6	86	12309
7	98	12219
8	109	12050
9	121	12045
10	133	12035
11	147	12153
12	159	12102
13	171	12083
14	183	12026
15	194	11958
16	206	11938
17	218	11922
18	229	11865
19	240	11785
20	252	11764
21	264	11736
22	276	11724
23	288	11720
24	299	11666
25	309	11610
26	321	11603
27	334	11594
28	346	11592
29	356	11520
30	369	11544
31	383	11611
32	399	11708
33	416	11840
34	431	11886
35	445	11940
36	458	11920
37	469	11895
38	480	11829
39	493	11834
40	502	11762
41	515	11755
42	528	11762
43	541	11770
44	553	11740
45	566	11741
46	578	11737
47	592	11750
48	606	11766
49	615	11697
50	627	11667
51	639	11660
52	650	11614
53	661	11589
54	674	11582
55	683	11521
56	694	11497
57	706	11482
58	720	11485
59	733	11484
60	745	11475
61	757	11464
62	769	11449
63	782	11445
64	794	11432
65	806	11410
66	817	11390
67	829	11371
68	841	11359
69	852	11327
70	864	11310
71	876	11302
72	889	11295
73	902	11288
74	911	11244
75	924	11242
76	935	11215
77	947	11204
78	958	11179
79	970	11160
80	981	11133
81	994	11132
82	1005	11106
83	1015	11077
84	1027	11061
85	1039	11048
86	1050	11024
87	1062	11010
88	1074	10993
89	1086	10986
90	1100	10988
91	1111	10973
92	1123	10955
93	1136	10951
94	1148	10944
95	1161	10941
96	1171	10906
97	1184	10898
98	1196	10892
99	1209	10885
100	1222	10883
101	1233	10860
102	1245	10849
103	1258	10840
104	1269	10824
105	1281	10808
106	1295	10808
107	1307	10800
108	1319	10783
109	1329	10760
110	1342	10751
111	1354	10738
112	1367	10732
113	1379	10718
114	1391	10710
115	1403	10699
116	1416	10687
117	1429	10684
118	1443	10683
119	1454	10664
120	1467	10657
121	1480	10656
122	1494	10655
123	1507	10653
124	1521	10652
125	1534	10646
126	1546	10632
127	1558	10619
128	1570	10605
129	1581	10584
130	1593	10570
131	1605	10554
132	1618	10550
133	1630	10536
134	1641	10520
135	1653	10505
136	1666	10495
137	1679	10491
138	1691	10477
139	1703	10462
140	1714	10447
141	1727	10438
142	1741	10434
143	1754	10431
144	1767	10420
145	1780	10412
146	1792	10404
147	1806	10398
148	1819	10389
149	1831	10379
150	1844	10373
151	1858	10368
152	1870	10355
153	1882	10340
154	1895	10331
155	1907	10318
156	1920	10309
157	1932	10298
158	1944	10284
159	1957	10274
160	1970	10269
161	1984	10264
162	1996	10251
163	2008	10238
164	2022	10234
165	2034	10223
166	2047	10214
167	2060	10203
168	2073	10196
169	2087	10190
170	2100	10181
171	2113	10174
172	2127	10171
173	2140	10162
174	2153	10153
175	2166	10144
176	2179	10132
177	2193	10127
178	2204	10110
179	2217	10102
180	2231	10095
181	2244	10088
182	2256	10073
183	2269	10066
184	2283	10060
185	2296	10050
186	2310	10046
187	2324	10039
188	2336	10026
189	2349	10014
190	2362	10007
191	2376	10002
192	2388	9987
193	2402	9981
194	2415	9972
195	2429	9963
196	2440	9948
197	2452	9934
198	2466	9927
199	2479	9918
200	2493	9910
201	2508	9908
202	2522	9902
203	2535	9894
204	2548	9881
205	2560	9870
206	2574	9861
207	2587	9852
208	2600	9840
209	2612	9829
210	2624	9814
211	2636	9799
212	2649	9791
213	2663	9782
214	2676	9773
215	2690	9766
216	2703	9754
217	2715	9741
218	2729	9733
219	2742	9725
220	2756	9715
221	2770	9709
222	2784	9703
223	2798	9693
224	2811	9683
225	2823	9668
226	2834	9653
227	2847	9642
228	2860	9631
229	2872	9615
230	2885	9607
231	2898	9594
232	2911	9583
233	2924	9573
234	2938	9564
235	2950	9553
236	2964	9542
237	2978	9535
238	2991	9526
239	3004	9513
240	3015	9498
241	3028	9485
242	3040	9473
243	3054	9462
244	3066	9449
245	3077	9431
246	3090	9420
247	3102	9407
248	3117	9401
249	3130	9392
250	3143	9379
251	3156	9369
252	3169	9357
253	3182	9347
254	3195	9335
255	3208	9324
256	3220	9311
257	3232	9295
258	3244	9281
259	3256	9269
260	3269	9257
261	3282	9246
262	3295	9233
263	3306	9219
264	3319	9206
265	3329	9187
266	3341	9173
267	3354	9161
268	3365	9146
269	3378	9134
270	3392	9124
271	3404	9113
272	3418	9103
273	3429	9087
274	3442	9074
275	3456	9067
276	3469	9054
277	3482	9043
278	3493	9028
279	3506	9015
280	3518	9003
281	3532	8993
282	3545	8981
283	3557	8968
284	3571	8958
285	3582	8944
286	3594	8930
287	3607	8917
288	3618	8902
289	3630	8888
290	3642	8875
291	3655	8863
292	3668	8852
293	3681	8841
294	3693	8826
295	3705	8813
296	3717	8799
297	3729	8784
298	3741	8771
299	3754	8760
300	3766	8746
301	3778	8732
302	3790	8719
303	3802	8705
304	3815	8695
305	3829	8684
306	3841	8670
307	3852	8656
308	3864	8641
309	3877	8630
310	3890	8619
311	3903	8607
312	3916	8596
313	3930	8586
314	3943	8575
315	3955	8561
316	3967	8548
317	3980	8537
318	3994	8527
319	4006	8513
320	4019	8502
321	4031	8489
322	4043	8474
323	4056	8464
324	4070	8453
325	4082	8441
326	4097	8432
327	4112	8424
328	4125	8413
329	4137	8399
330	4149	8387
331	4162	8374
332	4176	8364
333	4187	8350
334	4201	8339
335	4214	8329
336	4226	8314
337	4238	8302
338	4252	8290
339	4264	8278
340	4277	8267
341	4291	8255
342	4304	8244
343	4317	8233
344	4329	8220
345	4342	8207
346	4355	8196
347	4368	8185
348	4382	8174
349	4395	8163
350	4408	8152
351	4422	8140
352	4433	8126
353	4446	8113
354	4459	8102
355	4472	8090
356	4484	8076
357	4497	8064
358	4510	8053
359	4524	8043
360	4537	8032
361	4551	8021
362	4564	8010
363	4578	7999
364	4592	7989
365	4607	7980
366	4620	7969
367	4632	7955
368	4644	7941
369	4656	7929
370	4669	7916
371	4681	7903
372	4695	7892
373	4708	7881
374	4722	7870
375	4733	7856
376	4746	7843
377	4759	7831
378	4773	7820
379	4786	7808
380	4797	7794
381	4809	7781
382	4822	7768
383	4834	7755
384	4847	7743
385	4859	7729
386	4872	7718
387	4885	7705
388	4899	7694
389	4912	7683
390	4924	7669
391	4935	7654
392	4947	7641
393	4959	7628
394	4970	7612
395	4983	7601
396	4996	7589
397	5009	7577
398	5022	7565
399	5034	7552
400	5047	7539
401	5060	7528
402	5074	7516
403	5086	7503
404	5099	7491
405	5111	7478
406	5124	7466
407	5137	7453
408	5151	7443
409	5163	7430
410	5175	7417
411	5187	7403
412	5199	7390
413	5212	7378
414	5225	7366
415	5238	7354
416	5250	7340
417	5263	7327
418	5275	7315
419	5288	7302
420	5301	7290
421	5313	7277
422	5326	7266
423	5338	7252
424	5352	7241
425	5365	7229
426	5377	7216
427	5390	7204
428	5403	7192
429	5417	7181
430	5429	7168
431	5442	7155
432	5454	7142
433	5468	7131
434	5481	7119
435	5495	7108
436	5508	7096
437	5522	7085
438	5533	7071
439	5546	7059
440	5559	7047
441	5572	7034
442	5585	7022
443	5598	7010
444	5612	6999
445	5627	6990
446	5641	6979
447	5653	6966
448	5666	6953
449	5678	6940
450	5691	6928
451	5705	6917
452	5716	6903
453	5730	6891
454	5744	6880
455	5759	6870
456	5773	6859
457	5786	6848
458	5799	6836
459	5812	6823
460	5826	6812
461	5838	6799
462	5851	6786
463	5864	6774
464	5878	6763
465	5891	6751
466	5904	6739
467	5917	6726
468	5929	6713
469	5943	6702
470	5956	6690
471	5969	6677
472	5980	6663
473	5993	6651
474	6007	6640
475	6020	6628
476	6032	6614
477	6045	6601
478	6058	6589
479	6070	6576
480	6084	6565
481	6097	6552
482	6111	6541
483	6125	6530
484	6138	6518
485	6152	6506
486	6165	6494
487	6177	6481
488	6190	6469
489	6203	6456
490	6215	6443
491	6229	6431
492	6241	6418
493	6254	6406
494	6266	6393
495	6278	6379
496	6291	6367
497	6302	6353
498	6314	6339
499	6327	6327
500	6338	6312
501	6350	6300
502	6364	6288
503	6378	6277
504	6391	6265
505	6403	6252
506	6416	6239
507	6428	6226
508	6441	6213
509	6455	6202
510	6468	6190
511	6481	6177
512	6493	6164
513	6505	6150
514	6517	6138
515	6532	6127
516	6546	6115
517	6559	6103
518	6572	6090
519	6585	6078
520	6598	6066
521	6610	6053
522	6622	6040
523	6635	6027
524	6649	6015
525	6663	6005
526	6678	5994
527	6691	5981
528	6704	5969
529	6716	5955
530	6729	5943
531	6741	5930
532	6753	5917
533	6765	5903
534	6778	5891
535	6790	5878
536	6803	5865
537	6815	5853
538	6828	5840
539	6842	5828
540	6854	5815
541	6866	5802
542	6879	5789
543	6892	5777
544	6905	5765
545	6918	5752
546	6931	5740
547	6943	5727
548	6955	5713
549	6967	5700
550	6980	5688
551	6992	5675
552	7004	5662
553	7017	5649
554	7030	5637
555	7043	5624
556	7055	5611
557	7069	5599
558	7081	5586
559	7095	5574
560	7108	5562
561	7122	5550
562	7135	5538
563	7149	5526
564	7160	5513
565	7173	5500
566	7186	5488
567	7199	5475
568	7213	5464
569	7225	5450
570	7238	5438
571	7251	5425
572	7263	5412
573	7273	5398
574	7287	5386
575	7300	5373
576	7312	5360
577	7324	5347
578	7337	5334
579	7348	5321
580	7362	5309
581	7374	5296
582	7387	5284
583	7400	5271
584	7413	5259
585	7426	5246
586	7440	5234
587	7452	5221
588	7464	5208
589	7477	5196
590	7490	5183
591	7501	5170
592	7514	5157
593	7526	5144
594	7538	5131
595	7551	5118
596	7565	5106
597	7579	5094
598	7591	5082
599	7604	5069
600	7616	5056
601	7631	5045
602	7644	5032
603	7654	5018
604	7668	5006
605	7681	4994
606	7694	4981
607	7708	4970
608	7721	4957
609	7735	4945
610	7748	4933
611	7761	4920
612	7772	4907
613	7785	4894
614	7798	4881
615	7811	4869
616	7825	4857
617	7838	4844
618	7850	4832
619	7862	4819
620	7876	4806
621	7888	4793
622	7901	4781
623	7914	4768
624	7927	4756
625	7940	4744
626	7953	4731
627	7967	4719
628	7980	4706
629	7990	4692
630	8004	4680
631	8017	4668
632	8032	4656
633	8046	4645
634	8058	4632
635	8071	4619
636	8084	4606
637	8097	4594
638	8109	4581
639	8123	4569
640	8134	4555
641	8147	4543
642	8160	4530
643	8173	4518
644	8186	4505
645	8200	4493
646	8212	4480
647	8225	4468
648	8238	4455
649	8251	4443
650	8263	4429
651	8277	4417
652	8289	4405
653	8301	4392
654	8315	4379
655	8328	4367
656	8341	4354
657	8353	4341
658	8366	4329
659	8379	4316
660	8391	4303
661	8404	4291
662	8417	4278
663	8430	4266
664	8444	4253
665	8457	4241
