iter	Passed	Remaining
0	16	16710
1	32	16362
2	46	15535
3	61	15273
4	74	14766
5	87	14576
6	99	14125
7	113	14045
8	125	13863
9	139	13820
10	152	13683
11	164	13582
12	177	13489
13	190	13413
14	202	13313
15	214	13169
16	226	13112
17	239	13055
18	251	12971
19	262	12868
20	275	12860
21	289	12872
22	303	12881
23	316	12882
24	328	12813
25	341	12792
26	355	12806
27	368	12803
28	382	12811
29	395	12792
30	410	12826
31	428	12971
32	457	13408
33	476	13544
34	489	13508
35	504	13515
36	518	13485
37	530	13440
38	541	13346
39	554	13308
40	564	13193
41	576	13157
42	590	13131
43	602	13097
44	614	13032
45	626	12996
46	639	12962
47	652	12937
48	665	12911
49	674	12806
50	684	12740
51	697	12710
52	707	12637
53	718	12594
54	731	12573
55	741	12497
56	752	12448
57	764	12415
58	777	12399
59	789	12368
60	801	12345
61	814	12327
62	829	12334
63	843	12336
64	857	12339
65	869	12307
66	882	12284
67	894	12257
68	907	12243
69	919	12214
70	932	12197
71	945	12182
72	958	12172
73	971	12156
74	980	12096
75	993	12079
76	1003	12033
77	1015	12008
78	1027	11976
79	1038	11944
80	1050	11918
81	1064	11914
82	1075	11878
83	1086	11845
84	1097	11814
85	1108	11784
86	1119	11744
87	1130	11713
88	1142	11690
89	1154	11670
90	1167	11663
91	1178	11635
92	1190	11606
93	1202	11591
94	1215	11576
95	1228	11564
96	1237	11516
97	1249	11500
98	1262	11487
99	1275	11475
100	1286	11454
101	1296	11416
102	1308	11391
103	1319	11370
104	1331	11352
105	1343	11333
106	1356	11325
107	1369	11314
108	1381	11292
109	1392	11266
110	1404	11245
111	1416	11230
112	1429	11219
113	1441	11201
114	1453	11185
115	1465	11169
116	1477	11152
117	1490	11141
118	1502	11127
119	1513	11099
120	1524	11075
121	1537	11062
122	1549	11046
123	1562	11036
124	1576	11032
125	1589	11025
126	1601	11007
127	1613	10991
128	1624	10971
129	1634	10941
130	1646	10922
131	1658	10903
132	1671	10896
133	1682	10875
134	1693	10853
135	1705	10834
136	1717	10816
137	1730	10807
138	1741	10789
139	1753	10771
140	1764	10748
141	1777	10737
142	1789	10723
143	1802	10717
144	1814	10699
145	1826	10684
146	1838	10668
147	1851	10657
148	1864	10648
149	1877	10641
150	1892	10639
151	1905	10632
152	1918	10618
153	1929	10601
154	1942	10588
155	1954	10575
156	1966	10558
157	1978	10542
158	1990	10525
159	2003	10516
160	2016	10509
161	2030	10501
162	2042	10485
163	2055	10476
164	2068	10469
165	2081	10455
166	2093	10442
167	2105	10428
168	2118	10416
169	2131	10407
170	2144	10394
171	2157	10385
172	2170	10374
173	2182	10361
174	2194	10347
175	2207	10334
176	2219	10319
177	2232	10309
178	2243	10289
179	2255	10276
180	2269	10267
181	2283	10261
182	2297	10257
183	2311	10252
184	2325	10243
185	2338	10233
186	2351	10225
187	2365	10215
188	2376	10198
